NM_CANDIDATO,Partido,NM_UE,Estado,total
VANDA CRISTINA CAMILO,PP,SIDROLÂNDIA,MS,349209.8
DINIS ANTONIO PINHEIRO,REPUBLICANOS,IBIRITÉ,MG,348191.5
JOSE RONALDO DE CARVALHO,UNIÃO,FEIRA DE SANTANA,BA,347641.82
DANIEL PLANA BOGALHO,UNIÃO,TABOÃO DA SERRA,SP,347500.0
NELSI KISTEMACHER WELTER,PT,TOLEDO,PR,346016.85
HERMANO BERNARDES DE ANDRADE FREITAS,UNIÃO,ITUIUTABA,MG,344019.6
OLAVO REMIGIO CONDÉ,PSDB,PARACATU,MG,344000.0
DAVID MARCELINO ALMEIDA SCHMIDT,NOVO,BARREIRAS,BA,343793.0
TAKAHARU YAMAUCHI,MDB,DIADEMA,SP,342775.5
LEONARDO VIEIRA MENDES,REPUBLICANOS,SÃO JOÃO DE MERITI,RJ,342681.95
MANOEL AFONSO DE ARAÚJO,PSD,FORMOSA DO RIO PRETO,BA,341937.0
DANIEL PIRES COELHO,PSD,RECIFE,PE,340940.0
MARIA DUCILENE PONTES CORDEIRO,PL,CHAPADINHA,MA,340888.1
SIDNEI ARANHA,PC do B,GUARUJÁ,SP,340121.46
GERALDO JUNIO DO AMARAL,PL,CONTAGEM,MG,339710.8
AILTON APARECIDO MAÍSTRO,PL,ROLÂNDIA,PR,335709.62
ADILMA BARBOSA LACERDA DOS SANTOS,PP,IPOJUCA,PE,335026.0
MARIO CESAR COSTENARO,REPUBLICANOS,TOLEDO,PR,335016.95
JOSE LEONARDO VASCONCELLOS DE ANDRADE,UNIÃO,TERESÓPOLIS,RJ,333341.7
DUILIO SIQUEIRA RIBEIRO,REPUBLICANOS,SALGADO,SE,332740.0
ANTONIO VALDECI OLIVEIRA DE OLIVEIRA,PT,SANTA MARIA,RS,331234.0
KARLA FRANCIELI GALENDE,PSDB,SANTA TEREZINHA DE ITAIPU,PR,330107.43
JOSE ROBERTO DA SILVA,PSD,CARAPICUÍBA,SP,330029.8
DANIELA VAZ CARNEIRO,PSDB,IPAMERI,GO,329302.37
WELMA SILVA LIRA COTRIM,PL,SENADOR CANEDO,GO,329278.45
ANACLETO ZANELLA,PT,ERECHIM,RS,328667.24
KLEBER ROSA DE SOUZA,PSOL,SALVADOR,BA,325925.3
JOSE DIMAS DA SILVA FONSECA,REPUBLICANOS,POUSO ALEGRE,MG,325555.4
FABIANNE LEAO DA SILVEIRA BORGES,PP,INHUMAS,GO,324532.18
FERNANDO PELLOZO,UNIÃO,SENADOR CANEDO,GO,323947.3
CLAUDEMIR APARECIDO BORGES,PSD,LEME,SP,323468.22
DENISE EDELTRUDES SOUSA BELITARDO DE MENEZES,PSD,CAMPO FORMOSO,BA,322068.1
ELISABETH SAHÃO,PT,CATANDUVA,SP,321047.97
FABRÍCIO HERICK MACHADO,PV,VIANA,ES,319943.04
ANTONIO MARCOS TAVARES,PRD,ITAITINGA,CE,316324.5
MARCO AURELIO DA SILVA AZEVEDO,PC do B,IMPERATRIZ,MA,314297.69
PAULO JOSE GOMES FERREIRA,PT,QUIXERAMOBIM,CE,313464.08999999997
SALMIR DA SILVA,MDB,BIGUAÇU,SC,312690.0
FRANK SOBREIRA BARROS,MDB,BOCA DO ACRE,AM,312110.0
LUIS CLAUDIO LAPENA BARRETO,PL,ARARAQUARA,SP,312068.0
ALEX MAROTO DE OLIVEIRA,PL,MESQUITA,RJ,309160.0
ALBERTO BRUNO FERREIRA RIBEIRO,PL,CARPINA,PE,308830.05
GERALDO ABADE DAS DORES,PSD,BARÃO DE COCAIS,MG,305436.83
DANILO BAHIENSE MOREIRA,PL,GUARAPARI,ES,305295.0
ANDREIA WAGNER,PSB,JACIARA,MT,304990.0
DANIEL BARBOSA SANTOS,PSB,ANANINDEUA,PA,302905.21
GUSTAVO MORAIS NUNES,PL,IPATINGA,MG,302831.13
JOSE KLEBER LIMA SILVEIRA JUNIOR,PL,CRUZEIRO,SP,300143.48
GILMAR SOARES VICENTE,PL,CAIEIRAS,SP,299285.12
CARLOS AUGUSTO DA SILVA LOPES,PDT,VIAMÃO,RS,297266.0
ADÉLIA MARIA CARVALHO DE MELO PINHEIRO,PT,ILHÉUS,BA,296600.0
OZIRIS RIBEIRO SILVA,UNIÃO,URUAÇU,GO,296048.42
JORGE AUGUSTO ROQUE SOUZA,PT,RIBEIRÃO PRETO,SP,294931.83
ZACARIAS ABRÃO PIVA,PL,VARGINHA,MG,293082.1
THIAGO DE ASSIS MORAES,PP,ESPERANÇA,PB,292404.5
HELENO MARCIO DE MELO BOY,PP,IPATINGA,MG,292342.0
